WARD_NO,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK
0001,8647,34783,18197,16586,2816,1097,27748,14794
0002,9506,36602,19060,17542,3941,810,27160,16865
0003,14605,58129,30799,27330,6480,1859,46738,23818
0004,10583,41986,21799,20187,6319,1065,33599,17722
0005,12387,52025,27269,24756,6423,973,37879,20445
0006,16470,71855,37680,34175,6894,1540,53331,28442
0007,18691,72154,37923,34231,6152,2959,57202,32155
0008,12036,47546,24954,22592,4789,1026,36899,20690
0009,14448,57195,29382,27813,4913,1143,47177,23935
0010,8379,36396,20076,16320,3669,660,30824,16278
0011,8519,37128,18962,18166,10314,1099,26649,14587
0012,15530,61071,32175,28896,10377,1624,48135,25695
0013,11221,41482,21976,19506,4441,917,32959,18336
0014,17117,65113,34008,31105,3708,1971,52689,28278
0015,8849,33042,17783,15259,2365,650,27734,15657
0016,9191,37959,20285,17674,9010,1416,31909,16389
0017,12553,49610,25404,24206,4515,1286,39645,20881
0018,9058,35122,18075,17047,3883,741,29046,15041
0019,8153,32491,16697,15794,1754,477,26729,12927
0020,6592,27361,13973,13388,3773,501,21940,10684
0021,8181,32516,16791,15725,4294,765,26072,13610
0022,12704,51592,26928,24664,4145,667,40447,21176
0023,12295,60483,30930,29553,6567,574,45258,21012
0024,13612,58967,30219,28748,7435,1313,46225,24149
0025,23999,95368,49512,45856,12171,1699,75605,41385
0026,11674,47358,24328,23030,6691,1033,36787,20273
0027,12922,51268,25932,25336,6116,907,42547,22860
0028,11479,47074,23710,23364,7287,926,37548,21673
0029,8700,33588,16820,16768,3100,429,28353,14490
0030,9758,45748,23145,22603,5410,1418,34070,16423
0031,8192,41936,21320,20616,5327,582,31231,14359
0032,9540,39334,19877,19457,4621,709,32391,17038
0033,10572,47926,24755,23171,1932,546,37500,18374
0034,6058,24308,12417,11891,2988,339,19963,9748
0035,8825,36738,19369,17369,3429,657,32040,14761
0036,9592,37036,19134,17902,4769,763,30444,15345
0037,10326,41107,21293,19814,4031,577,33156,16911
0038,9524,36879,19332,17547,6281,1447,27664,18252
0039,16537,59289,32904,26385,4132,1830,47874,33082
0040,19506,72794,38471,34323,6241,3556,55069,37037
0041,15805,57814,31652,26162,3715,1601,45614,34557
0042,10620,41352,21707,19645,8353,1203,30095,22023
0043,13291,51200,26617,24583,5856,993,40583,24523
0044,10051,40212,20754,19458,6767,653,31605,18024
0045,8503,34196,17527,16669,2907,612,28811,13572
0046,7696,31449,16046,15403,2633,284,26399,12301
0047,8941,42135,21936,20199,7645,418,28559,16403
0048,7419,35814,18235,17579,7118,425,25356,12555
0049,8850,37955,19056,18899,6579,1419,29653,14916
0050,12384,49094,26406,22688,10790,1225,37912,22549
0051,11087,46159,23667,22492,10819,755,36584,18945
0052,8961,35168,18081,17087,3563,933,28524,14711
0053,11936,48585,25140,23445,7476,1008,36707,19676
0054,12579,50191,28201,21990,6964,1132,38041,23792
0055,8638,33946,18302,15644,4851,771,26371,15274
0056,11039,43443,22637,20806,8354,622,34423,18226
0057,16710,58815,30553,28262,4516,943,46673,27027
0058,12200,43983,22819,21164,4473,794,35010,20369
0059,10113,40362,19936,20426,10088,353,33359,16327
0060,7340,35334,17533,17801,9985,336,26064,14167
0061,7941,38050,19413,18637,6497,541,27268,13916
0062,7530,34394,17305,17089,8666,268,26870,13349
0063,4808,21728,10720,11008,3297,225,17958,8297
0064,7641,31118,15502,15616,3604,402,26172,12586
0065,9823,35609,17558,18051,1066,222,31205,14776
0066,9383,35709,17893,17816,1179,410,30797,14550
0067,8667,34574,17397,17177,2388,592,30066,14481
