WARD_NO,TOT_HH,POP_TOTAL_x,POP_M_x,POP_F_x,POP_SC_x,POP_ST_x,POP_LIT,POP_WORK,OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NAME,POP_M_y,POP_F_y,POP_SC_y,POP_ST_y,POP_TOTAL_y,AREA_SQ_KM,LAT,LON,RESERVATIO
1,8647,34783,18197,16586,2816,1097,27748,14794,186.0,150,Yelahanka,Kempegowda Ward,11490.0,10376.0,1912.0,430.0,21866.0,10.47,13.116188361394999,77.59971349953409,Backward Category - B
2,9506,36602,19060,17542,3941,810,27160,16865,1.0,150,Yelahanka,Chowdeswari Ward,10402.0,9224.0,2630.0,286.0,19626.0,7.06,13.121709445639,77.58042209476999,General
3,14605,58129,30799,27330,6480,1859,46738,23818,2.0,150,Yelahanka,Atturu,13129.0,10891.0,2921.0,665.0,24020.0,10.15,13.102804868968501,77.560037759808,General (Women)
4,10583,41986,21799,20187,6319,1065,33599,17722,3.0,150,Yelahanka,Yelahanka Satellite Town,13457.0,12325.0,3687.0,601.0,25782.0,4.9,13.0909866591769,77.5839254307448,Backward Category - A
5,12387,52025,27269,24756,6423,973,37879,20445,13.0,152,Byatarayanapura,Jakkuru,10906.0,10058.0,3470.0,327.0,20964.0,23.96,13.096250293422301,77.6233139550485,General (Women)
6,16470,71855,37680,34175,6894,1540,53331,28442,14.0,152,Byatarayanapura,Thanisandra,10384.0,10018.0,3924.0,147.0,20402.0,9.97,13.0565248615012,77.6224107410182,Backward Category A (Women)
7,18691,72154,37923,34231,6152,2959,57202,32155,15.0,152,Byatarayanapura,Byatarayanapura,16665.0,14735.0,3085.0,1383.0,31400.0,9.6,13.061070610404698,77.59737097825679,Scheduled Tribe (Woman)
8,12036,47546,24954,22592,4789,1026,36899,20690,16.0,152,Byatarayanapura,Kodigehalli,11525.0,10110.0,2724.0,372.0,21635.0,3.81,13.0538455989976,77.5790877633288,Backward Category - B
9,14448,57195,29382,27813,4913,1143,47177,23935,17.0,152,Byatarayanapura,Vidyaranyapura,12268.0,10868.0,1982.0,505.0,23136.0,9.79,13.0770924126944,77.56945402480821,General
10,8379,36396,20076,16320,3669,660,30824,16278,11.0,152,Byatarayanapura,Dodda Bommasandra,11327.0,10313.0,3188.0,286.0,21640.0,4.2,13.0565951296542,77.558692495766,General
11,8519,37128,18962,18166,10314,1099,26649,14587,12.0,152,Byatarayanapura,Kuvempu Nagar,13489.0,11806.0,4961.0,942.0,25295.0,7.59,13.072079819044399,77.5418693523628,Backward Category A (Women)
12,15530,61071,32175,28896,10377,1624,48135,25695,30.0,155,Dasarahalli,Shettihalli,15023.0,13286.0,6418.0,522.0,28309.0,8.97,13.0679966887335,77.5194091911426,Scheduled Caste
13,11221,41482,21976,19506,4441,917,32959,18336,31.0,155,Dasarahalli,Mallasandra,14066.0,12187.0,2749.0,289.0,26253.0,1.31,13.0544363601233,77.5151259164154,Backward Category A (Women)
14,17117,65113,34008,31105,3708,1971,52689,28278,32.0,155,Dasarahalli,Bagalakunte,15159.0,13147.0,1627.0,641.0,28306.0,4.43,13.058892502193801,77.50028000501341,General
15,8849,33042,17783,15259,2365,650,27734,15657,33.0,155,Dasarahalli,T Dasarahalli,14363.0,11687.0,1364.0,187.0,26050.0,0.88,13.045358023191,77.5147357511792,General (Women)
16,9191,37959,20285,17674,9010,1416,31909,16389,22.0,154,Rajarajeswari Nagar,Jalahalli,15087.0,13950.0,6257.0,1156.0,29037.0,5.16,13.046443698847,77.539338786534,Scheduled Caste
17,12553,49610,25404,24206,4515,1286,39645,20881,24.0,154,Rajarajeswari Nagar,J P Park,18629.0,16545.0,3344.0,736.0,35174.0,2.05,13.0366283169315,77.55242374137529,General
18,9058,35122,18075,17047,3883,741,29046,15041,52.0,158,Hebbal,Radhakrishna Temple Ward,13862.0,12349.0,3320.0,372.0,26211.0,1.95,13.038305145665099,77.5705716890458,Backward Category - A
19,8153,32491,16697,15794,1754,477,26729,12927,53.0,158,Hebbal,Sanjaya Nagar,12600.0,11578.0,848.0,237.0,24178.0,1.54,13.0393013347298,77.5777997091635,Backward Category - B
20,6592,27361,13973,13388,3773,501,21940,10684,54.0,158,Hebbal,Ganga Nagar,13688.0,12568.0,2842.0,286.0,26256.0,2.26,13.0325549216468,77.5863604495174,General
21,8181,32516,16791,15725,4294,765,26072,13610,55.0,158,Hebbal,Hebbala,12560.0,11601.0,3131.0,576.0,24161.0,1.23,13.034054460181197,77.5930187449416,General
22,12704,51592,26928,24664,4145,667,40447,21176,56.0,158,Hebbal,Vishwanath Nagenahalli,13594.0,12103.0,2422.0,402.0,25697.0,1.47,13.0351744765503,77.603740582364,Backward Category - B (Woman)
23,12295,60483,30930,29553,6567,574,45258,21012,67.0,160,Sarvagna Nagar,Nagavara,18216.0,17048.0,4331.0,157.0,35264.0,2.06,13.031509072774199,77.6166958347712,General (Women)
24,13612,58967,30219,28748,7435,1313,46225,24149,68.0,160,Sarvagna Nagar,HBR Layout,16506.0,15650.0,4584.0,188.0,32156.0,4.64,13.032020123457801,77.6301273655594,Backward Category - A
25,23999,95368,49512,45856,12171,1699,75605,41385,196.0,151,K.R. Puram,Horamavu,14696.0,13471.0,5677.0,666.0,28167.0,17.32,13.044561337102198,77.6532708062347,General (Women)
26,11674,47358,24328,23030,6691,1033,36787,20273,195.0,151,K.R. Puram,Ramamurthy Nagar,11330.0,10669.0,3489.0,247.0,21999.0,7.87,13.033613125226,77.6765386686356,Backward Category - A
27,12922,51268,25932,25336,6116,907,42547,22860,69.0,160,Sarvagna Nagar,Banasavadi,16634.0,15364.0,3419.0,263.0,31998.0,3.46,13.0146989651032,77.6489273734027,General
28,11479,47074,23710,23364,7287,926,37548,21673,70.0,160,Sarvagna Nagar,Kammanahalli,17925.0,16894.0,4031.0,213.0,34819.0,1.03,13.008373698812198,77.6359927313585,General
29,8700,33588,16820,16768,3100,429,28353,14490,71.0,160,Sarvagna Nagar,Kacharkanahalli,15037.0,13981.0,2593.0,321.0,29018.0,1.72,13.019416784231801,77.6340107399307,General
30,9758,45748,23145,22603,5410,1418,34070,16423,72.0,160,Sarvagna Nagar,Kadugondanahalli,17902.0,16940.0,3897.0,59.0,34842.0,0.71,13.015543513984001,77.61986405874471,General (Women)
31,8192,41936,21320,20616,5327,582,31231,14359,60.0,159,Pulakeshi Nagar (SC),Kushal Nagar,17506.0,16540.0,5167.0,129.0,34046.0,0.65,13.016273310792998,77.6150174090356,General (Women)
32,9540,39334,19877,19457,4621,709,32391,17038,61.0,159,Pulakeshi Nagar (SC),Kaval Bairasandra,13914.0,12636.0,3669.0,178.0,26550.0,1.59,13.026350569111399,77.6085689953968,General (Woman)
33,10572,47926,24755,23171,1932,546,37500,18374,57.0,158,Hebbal,Manorayanapalya,18200.0,16577.0,838.0,169.0,34777.0,0.81,13.0267426995105,77.5973052921654,Backward Category A (Women)
34,6058,24308,12417,11891,2988,339,19963,9748,58.0,158,Hebbal,Gangenahalli,13128.0,11826.0,2373.0,185.0,24954.0,1.09,13.017774892654,77.5888153931365,General
35,8825,36738,19369,17369,3429,657,32040,14761,45.0,157,Malleswaram,Aramane Nagara,16221.0,14176.0,2376.0,319.0,30397.0,7.47,13.0153491711673,77.57702246157709,General
36,9592,37036,19134,17902,4769,763,30444,15345,46.0,157,Malleswaram,Mattikere,19092.0,16790.0,4459.0,830.0,35882.0,0.91,13.032589556116399,77.5610338494586,General
37,10326,41107,21293,19814,4031,577,33156,16911,25.0,154,Rajarajeswari Nagar,Yeshwanthpura,18861.0,17111.0,3555.0,560.0,35972.0,0.78,13.0260290008921,77.5538567686232,General
38,9524,36879,19332,17547,6281,1447,27664,18252,26.0,154,Rajarajeswari Nagar,HMT Ward,16281.0,13483.0,3761.0,942.0,29764.0,5.21,13.0319047414786,77.5317054301638,General (Women)
39,16537,59289,32904,26385,4132,1830,47874,33082,34.0,155,Dasarahalli,Chokkasandra,16821.0,13296.0,2571.0,383.0,30117.0,4.0,13.0380504145944,77.50630668604909,Backward Category - A
40,19506,72794,38471,34323,6241,3556,55069,37037,20.0,153,Yeshwantpura,Dodda Bidarakallu,10204.0,9145.0,3055.0,1256.0,19349.0,12.7,13.018075867994598,77.4845431002247,General (Women)
41,15805,57814,31652,26162,3715,1601,45614,34557,35.0,155,Dasarahalli,Peenya Industrial Area,15255.0,12212.0,1595.0,1595.0,27467.0,5.59,13.020901799737599,77.5086112760292,General
42,10620,41352,21707,19645,8353,1203,30095,22023,27.0,154,Rajarajeswari Nagar,Lakshmi Devi Nagar,13425.0,12153.0,4568.0,704.0,25578.0,1.33,13.020602734815302,77.5324717737587,Backward Category - A
43,13291,51200,26617,24583,5856,993,40583,24523,39.0,156,Mahalakshmi Layout,Nandini Layout,18113.0,16205.0,4421.0,548.0,34318.0,1.41,13.013449936266,77.5341416116112,General
44,10051,40212,20754,19458,6767,653,31605,18024,40.0,156,Mahalakshmi Layout,Marappana Palya,18108.0,15894.0,5202.0,376.0,34002.0,2.05,13.0174803547776,77.5462421542391,General (Women)
45,8503,34196,17527,16669,2907,612,28811,13572,47.0,157,Malleswaram,Malleswaram,18994.0,17327.0,3493.0,367.0,36321.0,1.81,13.0140735271848,77.5616732070745,Backward Category - A
