OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK,AREA_SQ_KM,LAT,LON,RESERVATIO
186,150,Yelahanka,1,Kempegowda Ward,8647,34783,18197,16586,2816,1097,27748,14794,10.47,13.11618836,77.5997135,Backward Category - B
1,150,Yelahanka,2,Chowdeswari Ward,9506,36602,19060,17542,3941,810,27160,16865,7.06,13.12170945,77.58042209,General
2,150,Yelahanka,3,Atturu,14605,58129,30799,27330,6480,1859,46738,23818,10.15,13.10280487,77.56003776,General (Women)
3,150,Yelahanka,4,Yelahanka Satellite Town,10583,41986,21799,20187,6319,1065,33599,17722,4.9,13.09098666,77.58392543,Backward Category - A
13,152,Byatarayanapura,5,Jakkuru,12387,52025,27269,24756,6423,973,37879,20445,23.96,13.09625029,77.62331396,General (Women)
14,152,Byatarayanapura,6,Thanisandra,16470,71855,37680,34175,6894,1540,53331,28442,9.97,13.05652486,77.62241074,Backward Category A (Women)
15,152,Byatarayanapura,7,Byatarayanapura,18691,72154,37923,34231,6152,2959,57202,32155,9.6,13.06107061,77.59737098,Scheduled Tribe (Woman)
16,152,Byatarayanapura,8,Kodigehalli,12036,47546,24954,22592,4789,1026,36899,20690,3.81,13.0538456,77.57908776,Backward Category - B
17,152,Byatarayanapura,9,Vidyaranyapura,14448,57195,29382,27813,4913,1143,47177,23935,9.79,13.07709241,77.56945402,General
11,152,Byatarayanapura,10,Dodda Bommasandra,8379,36396,20076,16320,3669,660,30824,16278,4.2,13.05659513,77.5586925,General
12,152,Byatarayanapura,11,Kuvempu Nagar,8519,37128,18962,18166,10314,1099,26649,14587,7.59,13.07207982,77.54186935,Backward Category A (Women)
30,155,Dasarahalli,12,Shettihalli,15530,61071,32175,28896,10377,1624,48135,25695,8.97,13.06799669,77.51940919,Scheduled Caste
31,155,Dasarahalli,13,Mallasandra,11221,41482,21976,19506,4441,917,32959,18336,1.31,13.05443636,77.51512592,Backward Category A (Women)
32,155,Dasarahalli,14,Bagalakunte,17117,65113,34008,31105,3708,1971,52689,28278,4.43,13.0588925,77.50028001,General
33,155,Dasarahalli,15,T Dasarahalli,8849,33042,17783,15259,2365,650,27734,15657,0.88,13.04535802,77.51473575,General (Women)
22,154,Rajarajeswari Nagar,16,Jalahalli,9191,37959,20285,17674,9010,1416,31909,16389,5.16,13.0464437,77.53933879,Scheduled Caste
24,154,Rajarajeswari Nagar,17,J P Park,12553,49610,25404,24206,4515,1286,39645,20881,2.05,13.03662832,77.55242374,General
52,158,Hebbal,18,Radhakrishna Temple Ward,9058,35122,18075,17047,3883,741,29046,15041,1.95,13.03830515,77.57057169,Backward Category - A
53,158,Hebbal,19,Sanjaya Nagar,8153,32491,16697,15794,1754,477,26729,12927,1.54,13.03930133,77.57779971,Backward Category - B
54,158,Hebbal,20,Ganga Nagar,6592,27361,13973,13388,3773,501,21940,10684,2.26,13.03255492,77.58636045,General
55,158,Hebbal,21,Hebbala,8181,32516,16791,15725,4294,765,26072,13610,1.23,13.03405446,77.59301874,General
56,158,Hebbal,22,Vishwanath Nagenahalli,12704,51592,26928,24664,4145,667,40447,21176,1.47,13.03517448,77.60374058,Backward Category - B (Woman)
67,160,Sarvagna Nagar,23,Nagavara,12295,60483,30930,29553,6567,574,45258,21012,2.06,13.03150907,77.61669583,General (Women)
68,160,Sarvagna Nagar,24,HBR Layout,13612,58967,30219,28748,7435,1313,46225,24149,4.64,13.03202012,77.63012737,Backward Category - A
196,151,K.R. Puram,25,Horamavu,23999,95368,49512,45856,12171,1699,75605,41385,17.32,13.04456134,77.65327081,General (Women)
