OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,POP_M,POP_F,POP_SC,POP_ST,POP_TOTAL,AREA_SQ_KM,LAT,LON,RESERVATIO,TOT_HH
1.0,150,Yelahanka,2.0,Chowdeswari Ward,10402.0,9224.0,2630.0,286.0,19626.0,7.06,13.121709445639,77.58042209477,General,
2.0,150,Yelahanka,3.0,Atturu,13129.0,10891.0,2921.0,665.0,24020.0,10.15,13.1028048689685,77.560037759808,General (Women),
3.0,150,Yelahanka,4.0,Yelahanka Satellite Town,13457.0,12325.0,3687.0,601.0,25782.0,4.9,13.0909866591769,77.5839254307448,Backward Category - A,
4.0,151,K.R. Puram,51.0,Vijnanapura,18118.0,16969.0,6454.0,228.0,35087.0,2.05,13.0060632642652,77.6695653043393,Scheduled Caste,
5.0,151,K.R. Puram,53.0,Basavanapura,11494.0,10518.0,4115.0,325.0,22012.0,6.28,13.016847032689,77.7154564678998,General,
6.0,151,K.R. Puram,54.0,Hudi,11076.0,9624.0,4364.0,297.0,20700.0,15.3,13.022375521429,77.7054933252136,Backward Category - A,
7.0,151,K.R. Puram,55.0,Devasandra,11604.0,10453.0,3225.0,377.0,22057.0,3.52,13.0017973536303,77.6891215903739,Backward Category - B (Woman),
8.0,151,K.R. Puram,56.0,A Narayanapura,15406.0,14014.0,5827.0,118.0,29420.0,2.15,12.9944744122469,77.6725826643836,Backward Category - A,
9.0,151,K.R. Puram,81.0,Vijnana Nagar,13218.0,11539.0,3761.0,234.0,24757.0,5.73,12.9784929770063,77.6817701253513,General (Women),
10.0,151,K.R. Puram,87.0,HAL Airport,17594.0,15472.0,5487.0,464.0,33066.0,6.8,12.9565365691412,77.6715015074689,General,
11.0,152,Byatarayanapura,10.0,Dodda Bommasandra,11327.0,10313.0,3188.0,286.0,21640.0,4.2,13.0565951296542,77.558692495766,General,
12.0,152,Byatarayanapura,11.0,Kuvempu Nagar,13489.0,11806.0,4961.0,942.0,25295.0,7.59,13.0720798190444,77.5418693523628,Backward Category A (Women),
13.0,152,Byatarayanapura,5.0,Jakkuru,10906.0,10058.0,3470.0,327.0,20964.0,23.96,13.0962502934223,77.6233139550485,General (Women),
14.0,152,Byatarayanapura,6.0,Thanisandra,10384.0,10018.0,3924.0,147.0,20402.0,9.97,13.0565248615012,77.6224107410182,Backward Category A (Women),
15.0,152,Byatarayanapura,7.0,Byatarayanapura,16665.0,14735.0,3085.0,1383.0,31400.0,9.6,13.0610706104047,77.5973709782568,Scheduled Tribe (Woman),
16.0,152,Byatarayanapura,8.0,Kodigehalli,11525.0,10110.0,2724.0,372.0,21635.0,3.81,13.0538455989976,77.5790877633288,Backward Category - B,
17.0,152,Byatarayanapura,9.0,Vidyaranyapura,12268.0,10868.0,1982.0,505.0,23136.0,9.79,13.0770924126944,77.5694540248082,General,
18.0,153,Yeshwantpura,130.0,Ullalu,10468.0,9864.0,3751.0,207.0,20332.0,8.92,12.9467161449535,77.4846181877041,Backward Category - A,
19.0,153,Yeshwantpura,159.0,Kengeri,12879.0,11991.0,2440.0,220.0,24870.0,4.77,12.9150685525484,77.4775276168771,General,
20.0,153,Yeshwantpura,40.0,Dodda Bidarakallu,10204.0,9145.0,3055.0,1256.0,19349.0,12.7,13.0180758679946,77.4845431002247,General (Women),
21.0,153,Yeshwantpura,72.0,Herohalli,10421.0,9247.0,2026.0,549.0,19668.0,7.7,12.9828072657752,77.4871585444258,Backward Category - B,
22.0,154,Rajarajeswari Nagar,16.0,Jalahalli,15087.0,13950.0,6257.0,1156.0,29037.0,5.16,13.046443698847,77.539338786534,Scheduled Caste,
23.0,154,Rajarajeswari Nagar,160.0,Rajarajeshwari Nagar,12092.0,11190.0,2605.0,306.0,23282.0,11.35,12.9187572603313,77.5221415116967,General,
24.0,154,Rajarajeswari Nagar,17.0,J P Park,18629.0,16545.0,3344.0,736.0,35174.0,2.05,13.0366283169315,77.5524237413753,General,
25.0,154,Rajarajeswari Nagar,37.0,Yeshwanthpura,18861.0,17111.0,3555.0,560.0,35972.0,0.78,13.0260290008921,77.5538567686232,General,
26.0,154,Rajarajeswari Nagar,38.0,HMT Ward,16281.0,13483.0,3761.0,942.0,29764.0,5.21,13.0319047414786,77.5317054301638,General (Women),
27.0,154,Rajarajeswari Nagar,42.0,Lakshmi Devi Nagar,13425.0,12153.0,4568.0,704.0,25578.0,1.33,13.0206027348153,77.5324717737587,Backward Category - A,
28.0,154,Rajarajeswari Nagar,69.0,Laggere,13425.0,11945.0,1403.0,454.0,25370.0,1.58,13.0076873581854,77.5238999866999,General,
29.0,154,Rajarajeswari Nagar,73.0,Kottegepalya,15812.0,13288.0,2299.0,431.0,29100.0,5.84,12.9824564568696,77.5140904058987,General,
30.0,155,Dasarahalli,12.0,Shettihalli,15023.0,13286.0,6418.0,522.0,28309.0,8.97,13.0679966887335,77.5194091911426,Scheduled Caste,
31.0,155,Dasarahalli,13.0,Mallasandra,14066.0,12187.0,2749.0,289.0,26253.0,1.31,13.0544363601233,77.5151259164154,Backward Category A (Women),
32.0,155,Dasarahalli,14.0,Bagalakunte,15159.0,13147.0,1627.0,641.0,28306.0,4.43,13.0588925021938,77.5002800050134,General,
33.0,155,Dasarahalli,15.0,T Dasarahalli,14363.0,11687.0,1364.0,187.0,26050.0,0.88,13.045358023191,77.5147357511792,General (Women),
34.0,155,Dasarahalli,39.0,Chokkasandra,16821.0,13296.0,2571.0,383.0,30117.0,4.0,13.0380504145944,77.5063066860491,Backward Category - A,
35.0,155,Dasarahalli,41.0,Peenya Industrial Area,15255.0,12212.0,1595.0,1595.0,27467.0,5.59,13.0209017997376,77.5086112760292,General,
36.0,155,Dasarahalli,70.0,Rajagopal Nagar,15691.0,12913.0,2364.0,606.0,28604.0,2.18,13.0061996149424,77.5122492470683,General,
37.0,155,Dasarahalli,71.0,Hegganahalli,16766.0,14123.0,1879.0,527.0,30889.0,1.96,13.0010055251581,77.5009754398035,General,
38.0,156,Mahalakshmi Layout,102.0,Vrisabhavathi Nagar,18654.0,15685.0,1187.0,333.0,34339.0,0.99,12.9897724158581,77.5258790256208,Backward Category A (Women),
39.0,156,Mahalakshmi Layout,43.0,Nandini Layout,18113.0,16205.0,4421.0,548.0,34318.0,1.41,13.013449936266,77.5341416116112,General,
40.0,156,Mahalakshmi Layout,44.0,Marappana Palya,18108.0,15894.0,5202.0,376.0,34002.0,2.05,13.0174803547776,77.5462421542391,General (Women),
41.0,156,Mahalakshmi Layout,67.0,Nagapura,18268.0,17285.0,2520.0,320.0,35553.0,1.79,13.0041261575396,77.5481305165233,Backward Category - A,
42.0,156,Mahalakshmi Layout,68.0,Mahalakshimpuram,19202.0,16774.0,1258.0,311.0,35976.0,0.95,13.0073496521638,77.540042587153,Backward Category - B,
