StateCode,StateName,DistrictCode,NameofCity,Level,PopulationPersons,PopulationMales,PopulationFemale,0-6PopulationPersons,0-6PopulationMales,0-6PopulationFemales,LiteratesPersons,LiterateMales,LiteratesFemales,SexRatio,0-6ChildSexRatio,EffLiteracyRatePersons,EffLiteracyRateMales,EffLiteracyRatesFemales
01,JAMMU & KASHMIR,99,Srinagar,UA,"12,73,312","6,77,260","5,96,052","1,57,100","84,110","72,990","7,97,481","4,64,086","3,33,395",880,868,71.45,78.24,63.74
01,JAMMU & KASHMIR,21,Jammu,UA,"6,51,826","3,50,035","3,01,791","58,424","31,979","26,445","5,28,017","2,94,652","2,33,365",862,827,88.98,92.64,84.75
01,JAMMU & KASHMIR,99,Anantnag,UA,"1,58,785","82,023","76,762","26,001","14,013","11,988","1,01,256","56,988","44,268",936,855,76.26,83.79,68.34
02,HIMACHAL PRADESH,11,Shimla,UA,"1,71,817","94,797","77,020","13,784","7,291","6,493","1,48,775","83,045","65,730",812,891,94.14,94.90,93.20
03,PUNJAB,07,Ludhiana,City,"16,13,878","8,74,773","7,39,105","1,73,021","92,492","80,529","12,30,218","6,91,161","5,39,057",845,871,85.38,88.35,81.85
03,PUNJAB,15,Amritsar,UA,"11,83,705","6,30,114","5,53,591","1,15,368","63,238","52,130","9,04,190","4,95,804","4,08,386",879,824,84.64,87.46,81.44
03,PUNJAB,03,Jalandhar,UA,"8,73,725","4,63,975","4,09,750","84,886","45,459","39,427","6,74,166","3,68,174","3,05,992",883,867,85.46,87.97,82.63
03,PUNJAB,14,Patiala,UA,"4,45,196","2,36,238","2,08,958","42,458","22,865","19,593","3,48,891","1,91,651","1,57,240",885,857,86.63,89.82,83.04
03,PUNJAB,12,Bathinda,City,"2,85,813","1,51,782","1,34,031","30,713","16,472","14,241","2,11,318","1,18,888","92,430",883,865,82.84,87.86,77.16
03,PUNJAB,18,S.A.S.Nagar,UA,"1,76,152","92,407","83,745","16,148","8,620","7,528","1,48,862","79,486","69,376",906,873,93.04,94.87,91.02
03,PUNJAB,04,Hoshiarpur,City,"1,68,443","88,290","80,153","16,836","9,178","7,658","1,35,094","72,533","62,561",908,834,89.11,91.68,86.30
03,PUNJAB,01,Pathankot,UA,"1,59,909","84,145","75,764","14,734","8,183","6,551","1,28,778","69,945","58,833",900,801,88.71,92.08,85.00
03,PUNJAB,08,Moga,UA,"1,59,897","84,808","75,089","16,447","8,850","7,597","1,16,800","64,123","52,677",885,858,81.42,84.42,78.05
03,PUNJAB,01,Batala,UA,"1,58,404","83,536","74,868","14,943","8,145","6,798","1,22,350","66,809","55,541",896,835,85.28,88.62,81.59
03,PUNJAB,09,Abohar,City,"1,45,238","76,840","68,398","15,870","8,587","7,283","1,03,319","58,347","44,972",890,848,79.86,85.49,73.59
03,PUNJAB,19,Malerkotla,City,"1,35,330","71,401","63,929","16,315","8,365","7,950","83,606","47,164","36,442",895,950,70.25,74.82,65.10
03,PUNJAB,07,Khanna,City,"1,28,130","67,811","60,319","13,218","7,232","5,986","97,022","53,108","43,914",890,828,84.43,87.67,80.82
03,PUNJAB,02,Phagwara,UA,"1,17,954","62,171","55,783","11,622","6,062","5,560","92,971","51,022","41,949",897,917,87.43,90.93,83.53
03,PUNJAB,10,Muktsar,City,"1,17,085","62,005","55,080","13,639","7,448","6,191","79,979","45,007","34,972",888,831,77.31,82.50,71.53
03,PUNJAB,20,Barnala (M Cl),City,"1,16,454","62,302","54,152","12,984","7,096","5,888","82,347","46,100","36,247",869,830,79.59,83.51,75.10
